upi_transactions_per_month,bill_payment_on_time_pct,rent_payments_regular,monthly_income_estimate,mobile_recharge_frequency,employment_type,score,risk_tier
44,0.89,1,57142,1,1,652.9813576770526,Low
64,0.79,0,61307,0,2,615.4286497518309,Medium
88,0.15,1,9493,1,1,422.46434852685286,High
70,0.31,1,55085,2,2,587.3358129886482,Medium
8,0.25,0,39228,1,0,300.0,High
87,0.74,0,84676,0,0,581.4303866176144,Medium
0,0.03,1,56875,0,2,307.33525880598273,High
7,0.57,1,36655,2,2,509.50406425784877,Medium
87,0.76,1,48472,0,2,694.5102284000186,Low
62,0.88,0,54437,2,1,583.8865677956826,Medium
10,0.34,0,54416,0,0,300.0,High
80,0.82,0,64711,0,2,638.8730038360839,Medium
7,0.11,0,11816,2,1,300.0,High
34,0.85,0,82175,1,0,523.6929396942095,Medium
34,0.13,0,69307,0,1,300.0,High
32,0.4,1,51733,1,0,400.84058452095377,High
4,0.8,1,16240,0,1,452.38320823440466,Medium
40,0.15,0,97493,0,0,328.6561099989368,High
27,0.23,1,76363,0,0,361.5914047296152,High
6,0.72,1,37762,0,1,471.496969173698,Medium
72,0.72,0,13259,1,2,527.7095412302094,Medium
71,0.64,1,55139,1,0,558.0073930126753,Medium
11,0.69,0,19849,0,2,366.67043487471597,High
33,0.54,0,86768,0,1,441.68054543514125,High
32,0.25,1,94709,1,2,611.0887588006321,Medium
47,0.35,0,59869,2,2,489.3728976625132,Medium
22,0.18,0,68095,2,2,397.9252410969648,High
61,0.91,0,75910,1,2,686.2732611215342,Low
87,0.58,0,91710,0,2,659.00325176395,Low
36,0.4,0,28567,0,0,300.0,High
98,0.46,0,40292,2,0,462.7858140426849,Medium
43,0.95,0,79813,2,0,607.5116645619484,Medium
85,0.15,0,56631,1,1,404.76310867997375,High
90,0.59,1,14885,2,2,625.3720934183899,Medium
34,0.51,1,64659,1,0,455.0242713648788,Medium
64,0.61,1,59306,2,1,670.1979310167907,Low
98,0.02,0,71314,2,0,407.2608913383857,High
46,0.87,0,70087,2,0,541.3826523201519,Medium
77,0.93,1,34165,0,2,696.6433017791587,Low
2,0.57,1,63929,0,1,469.00689436016705,Medium
0,0.7,1,72028,0,2,548.1878896831591,Medium
4,0.92,0,54812,2,2,524.6356054164517,Medium
89,0.71,1,55500,1,0,638.5168170429585,Medium
13,0.15,1,84151,1,2,493.46895635147126,Medium
26,0.58,0,63643,1,1,456.115286359445,Medium
8,0.61,1,49900,1,2,517.6134012372551,Medium
78,0.42,0,47946,0,2,503.2754531291676,Medium
14,0.74,0,12851,0,2,379.9609994734325,High
89,0.93,0,21288,2,0,584.3989468775745,Medium
41,0.93,1,77692,2,1,737.8577406000511,Low
76,0.45,1,72580,1,0,531.7280631473466,Medium
50,0.11,0,12368,0,0,300.0,High
62,0.98,1,90436,1,0,729.9076770239791,Low
95,0.84,1,51403,2,0,716.3418764782764,Low
51,0.12,1,96170,2,0,463.45910743056317,Medium
95,0.92,1,14168,1,1,684.4425300015613,Low
3,0.87,0,91497,2,2,632.0525546548532,Medium
93,0.52,1,54879,1,0,620.4644067319681,Medium
22,0.59,0,64871,0,0,378.7499958959056,High
14,0.4,0,94388,1,1,427.8604940789208,High
42,0.05,1,37174,0,1,300.0,High
28,0.34,0,97491,0,2,455.6274558099484,Medium
35,0.8,1,11581,2,1,531.3118086957414,Medium
12,0.0,1,76853,2,2,442.40555749632495,High
31,0.33,0,69046,2,0,334.765483344098,High
70,0.4,0,54678,1,0,395.15266184416197,High
58,0.54,0,31649,1,2,460.95433832387863,Medium
85,0.92,0,93668,2,1,732.3726728806151,Low
27,0.35,1,87325,1,2,552.8852762801769,Medium
65,0.35,1,19567,2,1,481.41690567223515,Medium
41,0.74,1,85404,1,0,610.5318951809604,Medium
44,0.45,0,94906,0,1,412.842128242571,High
61,0.22,0,66944,0,2,374.3593428732428,High
56,0.45,0,83002,2,2,566.2301732015625,Medium
5,0.14,1,33803,1,0,300.0,High
27,0.18,0,23230,1,1,300.0,High
27,0.5,1,22862,0,1,385.1705529028755,High
43,0.42,0,48355,0,1,358.8993038804536,High
83,0.91,1,36259,2,0,674.0484641003611,Low
29,0.36,1,92445,0,1,486.1988380626906,Medium
61,0.58,0,35795,2,2,547.859116434822,Medium
74,0.63,0,13770,0,1,418.07972622910125,High
91,0.01,1,16093,0,0,328.1252219092658,High
88,0.66,1,51571,1,1,658.5189146256771,Low
61,0.18,0,5193,0,1,300.0,High
96,0.96,0,22569,0,2,637.0659413823531,Medium
0,0.15,1,16190,2,1,300.0,High
26,0.41,0,67824,0,2,427.067337687368,High
61,0.09,1,47752,2,2,471.75190165086656,Medium
76,1.0,1,37327,0,0,629.0460052533421,Medium
2,0.5,0,47070,0,2,354.5232058018398,High
69,0.6,0,90925,2,2,662.470415241574,Low
71,0.07,0,45197,1,0,300.0,High
26,0.75,0,7261,2,2,431.27653286325966,High
8,0.21,0,98905,2,0,321.02305975898076,High
61,0.9,1,31512,2,1,667.0654983249477,Low
36,0.21,1,11716,1,0,300.0,High
96,0.19,0,91795,0,2,567.9933523129455,Medium
50,0.04,0,33933,2,0,300.0,High
43,0.47,0,9378,2,2,399.2872426491079,High
23,0.56,1,45583,1,1,487.37379278215394,Medium
78,0.07,0,90371,2,0,427.89041855666574,High
58,0.78,0,34033,0,1,449.7475054547515,High
31,0.45,1,29000,1,2,507.68589587776427,Medium
95,0.52,1,80868,0,2,679.8593791237415,Low
87,0.44,0,47604,0,1,439.8854282278486,High
51,0.4,0,73336,1,0,411.0869511055885,High
61,0.56,0,78869,2,0,528.541771295855,Medium
57,0.16,1,10410,0,2,354.73997407237806,High
51,0.18,0,88375,0,1,435.6507358083032,High
11,0.86,0,61044,0,1,434.13816873665576,High
38,0.95,0,68315,0,0,471.38635044944436,Medium
1,0.37,1,76344,1,0,405.74229783546514,High
2,0.27,1,11796,1,0,300.0,High
55,0.64,0,91716,0,1,525.5109537492051,Medium
80,0.41,0,59245,2,0,473.4028811513944,Medium
58,0.03,1,48056,0,0,300.0,High
1,0.16,1,22709,2,2,321.37531200050597,High
1,0.72,1,63557,0,0,433.16553269713546,High
91,0.66,1,22543,2,0,606.6440347890665,Medium
53,0.03,1,42418,0,1,338.7548941317443,High
86,0.22,1,99611,2,1,679.2051336905722,Low
95,0.23,1,21724,0,2,526.4682952234377,Medium
96,0.67,1,8828,0,0,516.3149236901497,Medium
0,0.02,1,22087,2,2,316.9684771874951,High
18,0.1,0,17605,1,1,300.0,High
1,0.8,0,36337,2,2,477.86835457364197,Medium
52,0.18,0,10482,1,1,300.0,High
43,0.65,1,70333,0,2,616.6622433358567,Medium
89,0.24,0,97541,2,2,583.6827968681483,Medium
31,0.1,1,93296,2,0,394.3911442141964,High
69,0.24,1,55952,2,2,603.9854121856409,Medium
31,0.72,0,10463,1,0,332.07116873570595,High
67,0.86,1,75448,1,0,673.0202271124357,Low
54,0.83,0,9648,0,0,384.2649824571576,High
74,0.4,0,38623,1,0,358.678050904127,High
55,0.67,0,64156,1,2,549.2907557323114,Medium
16,0.2,1,40634,0,1,317.594306126437,High
37,0.29,0,49602,2,1,397.56596963527625,High
23,0.9,1,54334,2,1,611.2931794301375,Medium
68,0.01,0,73648,0,2,333.7546928638367,High
97,0.09,0,27054,2,0,324.6799781636249,High
69,0.21,0,75028,1,1,453.9099983247037,Medium
85,0.03,1,27207,0,2,398.7631195129129,High
10,0.18,1,85650,0,0,321.6943279235426,High
15,0.58,1,86554,0,1,532.3789348115633,Medium
96,0.42,0,26386,2,0,482.1701407095067,Medium
72,0.89,0,88276,0,1,610.3877666294761,Medium
58,0.82,1,64518,0,1,613.0973181706408,Medium
69,0.34,1,57781,0,1,512.3359673767837,Medium
79,0.26,1,57780,2,0,535.6534887998741,Medium
92,0.38,1,66440,1,2,648.3980257534857,Medium
2,0.59,1,49199,0,0,346.9701168775566,High
19,0.27,1,66035,1,1,439.7449844177269,High
58,0.62,0,13210,2,0,400.7168279460595,High
35,0.41,1,49363,2,2,587.2991025307649,Medium
18,0.55,0,83279,2,0,440.69694224648555,High
89,0.44,0,65348,2,2,617.2573215274476,Medium
66,0.29,1,60284,1,2,564.3250971226419,Medium
18,0.95,1,77124,0,0,624.0780868433894,Medium
19,0.76,0,73847,2,1,515.7311597882306,Medium
95,0.14,1,27432,2,2,534.6255575717646,Medium
70,0.87,1,69089,1,0,705.3682983703721,Low
51,0.49,0,60398,1,2,470.3112544220918,Medium
32,0.89,0,8321,2,1,420.6938323094417,High
39,0.8,0,86348,0,0,493.0871384919697,Medium
38,0.43,1,42383,0,0,389.7312695344861,High
81,0.02,0,83682,2,0,390.8062403689868,High
0,0.27,1,84190,1,1,449.258595142433,High
10,0.54,0,57893,2,2,439.6218763542286,High
91,0.63,0,40820,2,0,513.9233425124935,Medium
56,0.26,0,71262,1,2,455.32188094723625,Medium
88,0.14,1,8760,2,2,477.69562999786496,Medium
49,0.83,1,27190,2,1,610.1431983207864,Medium
22,0.98,0,72411,2,0,559.8739160659021,Medium
30,0.53,0,28377,1,2,448.16536240861006,High
93,0.17,0,51737,0,0,352.06237965797936,High
41,0.27,1,74569,0,0,361.921299971971,High
98,0.02,0,43211,1,1,367.65919829116706,High
6,0.91,1,87909,0,0,561.8140558180567,Medium
15,0.12,0,8744,2,0,300.0,High
89,0.58,0,29995,0,2,515.6862060497948,Medium
59,0.27,0,21977,2,1,378.01577834604154,High
1,0.55,0,39542,0,0,300.0,High
0,0.65,0,15651,1,2,387.4779613899578,High
47,0.83,0,83931,0,1,552.0870815990341,Medium
11,0.21,1,21715,0,1,300.0,High
68,0.01,0,49409,0,2,354.3508307077979,High
36,0.14,1,29306,1,2,391.16811859413116,High
31,0.9,0,24086,0,2,464.3717439583785,Medium
8,0.87,0,19376,1,2,433.1649580062663,High
98,0.6,1,66350,2,2,753.7156876582216,Low
18,0.6,0,76425,0,0,379.30123841750657,High
47,0.67,1,41636,1,0,471.5758394073089,Medium
79,0.18,1,91120,1,1,543.1205994736418,Medium
2,0.91,0,56649,0,0,427.55292984714526,High
19,0.42,1,39610,2,0,388.71806558051645,High
23,0.38,1,15058,1,0,324.1162970234349,High
53,0.52,0,79637,0,2,491.49107164201746,Medium
32,0.05,1,83033,2,1,456.9484853557856,Medium
23,0.17,0,75194,1,1,313.00786664637195,High
74,0.74,0,81917,1,1,582.5722100367918,Medium
71,0.08,0,69200,2,1,441.13840875129426,High
35,0.6,0,51619,2,0,436.8893145412174,High
37,0.25,1,22154,0,0,300.0,High
83,0.39,0,24539,0,2,452.0663806535582,Medium
98,0.29,0,65058,1,1,531.1818537545432,Medium
88,0.36,1,67068,2,0,593.2175186631617,Medium
98,0.72,0,82313,2,0,646.2195947901993,Medium
24,0.3,0,35373,2,2,372.7249939296662,High
92,0.57,1,38154,1,2,674.2979472971848,Low
17,0.48,1,11031,2,2,452.7836121302073,Medium
81,0.66,1,98533,2,0,711.5332826167711,Low
65,0.94,1,76975,1,0,704.9678275042503,Low
53,0.73,1,27785,0,2,571.0927025968093,Medium
34,0.21,1,83928,0,1,441.54000654412994,High
79,0.03,1,33669,1,2,464.3417332926994,Medium
60,0.26,0,99475,2,2,579.9621510118615,Medium
40,0.6,1,7282,1,2,481.9107249288071,Medium
99,0.05,1,39624,0,2,507.43157005410524,Medium
32,0.5,1,53438,0,0,436.71192825606937,High
67,0.6,0,94900,1,1,599.5162401859361,Medium
32,0.33,0,72534,1,2,421.9330723958102,High
13,0.77,1,36705,0,1,446.5563676897812,High
20,0.11,1,43244,1,1,350.6820094482284,High
47,0.08,1,79964,0,1,431.67877568827925,High
19,0.73,0,42437,1,2,491.9615326952627,Medium
7,0.5,0,82872,1,0,345.73326343980926,High
6,0.69,1,79878,1,2,623.9583675251272,Medium
66,0.43,0,77982,0,1,488.05224224438825,Medium
16,0.25,1,55583,1,1,396.259805579013,High
32,0.82,0,43392,0,0,405.1225900652963,High
47,0.8,0,12461,0,2,466.5613291504819,Medium
75,0.69,1,15516,1,1,551.6026094194069,Medium
58,0.27,1,84285,1,0,506.19193204569217,Medium
85,0.59,1,22514,0,1,574.4779668180203,Medium
21,0.36,1,41268,0,0,332.98007869085274,High
29,0.09,0,95486,2,0,306.7535012269668,High
37,0.92,0,41788,0,2,519.8314693817198,Medium
50,0.14,0,80749,2,1,377.90941102296745,High
53,0.95,1,66049,2,2,808.9032225809212,Low
7,0.45,0,67493,2,1,409.2681059265619,High
26,0.19,1,41027,1,2,411.0266145666436,High
26,0.54,0,98547,1,1,462.7328015606213,Medium
97,0.87,1,47849,0,2,734.0321008351501,Low
20,0.73,1,22858,2,0,451.95046068605706,Medium
29,0.81,0,89162,1,1,561.5121519804012,Medium
96,0.66,1,84003,1,1,739.5211868639676,Low
27,0.69,1,57395,1,0,532.6186395074741,Medium
63,0.85,0,44758,1,2,586.6609028460392,Medium
96,0.25,1,59312,1,1,535.4602429129214,Medium
68,0.49,1,73670,2,1,617.2004304971542,Medium
60,0.22,1,87279,2,2,620.09750291107,Medium
47,0.99,0,20434,2,0,477.2944386610842,Medium
18,0.94,0,69047,2,2,610.2538290897395,Medium
3,0.04,1,52775,0,2,314.46932839361114,High
34,0.71,0,80769,2,2,622.3427690741037,Medium
63,0.93,1,71677,1,1,716.6146862581536,Low
48,0.18,1,88555,2,0,479.5631584610438,Medium
16,0.57,1,90920,0,0,499.18567162317555,Medium
43,0.92,1,50734,1,2,682.1683617793584,Low
91,0.03,1,93503,2,1,596.4702474891403,Medium
29,0.7,0,45603,2,2,525.8357052404352,Medium
92,0.3,1,81708,2,1,650.2513171792215,Low
45,0.92,0,86926,1,1,597.1640723458702,Medium
5,0.97,0,73803,1,1,553.2014844904387,Medium
98,0.94,1,44332,0,1,761.0776759316623,Low
36,0.47,1,96703,1,0,536.5825627653478,Medium
23,0.86,0,26312,1,1,415.6969025325925,High
92,0.84,0,98376,2,1,743.3340541665004,Low
45,0.32,0,89526,1,2,514.84920281172,Medium
52,0.83,1,49179,2,2,699.0542464856878,Low
94,0.04,0,76442,2,0,410.30601631763625,High
98,0.6,1,45379,1,2,703.5710827282429,Low
59,0.23,1,22297,0,1,405.6549570441185,High
96,0.12,1,7011,0,2,457.5304746617875,Medium
62,0.08,0,49014,1,0,300.0,High
84,0.7,1,16738,0,2,602.9506288664714,Medium
31,0.34,1,99333,2,2,630.7043791034783,Medium
86,0.72,1,52498,2,0,638.5567334574974,Medium
32,0.07,1,16120,1,0,300.0,High
66,0.32,1,13767,0,1,428.5583928157123,High
17,0.54,0,27852,0,2,362.77127137545244,High
24,0.79,1,84239,2,1,656.1297882641038,Low
94,0.32,1,5929,1,2,521.7834574391679,Medium
53,0.63,0,82487,0,2,596.1043242132401,Medium
57,0.89,1,96575,1,1,747.13579110753,Low
66,0.62,0,22438,0,2,483.87588334901136,Medium
45,0.23,1,53515,2,2,532.8078319643704,Medium
23,0.02,0,10744,2,2,300.0,High
31,0.87,0,88820,1,0,503.7470194506115,Medium
46,0.02,1,47417,2,1,407.06600761177015,High
85,0.87,1,12069,0,0,556.9600173321224,Medium
22,0.53,1,47359,2,1,543.8486934291867,Medium
65,0.94,0,24799,1,1,524.3941460915499,Medium
26,0.8,0,98762,1,2,665.4193718309557,Low
1,1.0,0,75188,1,1,539.9522105899318,Medium
89,0.35,1,94859,0,0,580.2745844244431,Medium
16,0.77,0,12597,0,0,300.0,High
32,0.4,0,52093,0,0,300.0,High
8,0.48,1,42226,0,1,403.91301856466424,High
42,0.63,0,77127,0,0,446.0005458364176,High
47,0.87,0,96369,2,1,638.1715558481612,Medium
38,0.98,1,82362,0,0,662.8596171157607,Low
92,0.77,0,31417,0,0,485.0623104754396,Medium
41,0.42,1,23693,2,1,477.55057790614626,Medium
25,0.42,1,84674,0,0,440.9291547699048,High
98,0.74,1,58161,1,2,745.759147234419,Low
49,0.24,1,7169,0,1,335.79249254806575,High
24,0.11,1,89092,0,1,412.92991099646434,High
23,0.35,0,27052,1,1,300.0,High
12,0.29,0,76849,1,2,410.5637081033025,High
59,0.3,1,78851,1,1,565.6324926779316,Medium
6,0.23,1,13036,1,0,300.0,High
56,0.04,0,36778,0,0,300.0,High
35,0.02,1,32734,1,0,300.0,High
44,0.99,1,28173,1,1,621.8239019397259,Medium
19,0.43,1,35403,2,0,392.5225798016933,High
64,0.38,0,71321,1,1,463.4236433445843,Medium
7,0.68,0,76675,1,0,405.77955395351836,High
15,0.22,1,11344,2,2,351.3226212254874,High
13,0.95,1,23800,2,2,593.5340874539347,Medium
75,0.79,0,30372,0,2,493.29844518153715,Medium
86,0.09,0,66516,2,2,510.88290456906947,Medium
14,0.42,1,25538,0,1,355.380540412349,High
91,0.88,1,68918,2,0,764.7930226293031,Low
97,0.94,0,19973,2,2,653.1912400837722,Low
65,0.47,0,76155,0,1,473.7981467906632,Medium
31,0.61,0,64500,2,2,538.296530122332,Medium
86,0.17,1,41575,0,2,494.91435010339967,Medium
62,0.99,0,47261,2,1,594.4534440306642,Medium
85,0.23,1,32716,1,1,519.3494267227031,Medium
50,0.94,0,8236,2,0,486.457666825401,Medium
24,0.65,0,20848,0,0,300.0,High
57,0.61,0,7352,2,2,481.90855290339215,Medium
62,0.51,0,6932,0,2,381.1681864728621,High
61,0.23,1,81449,0,0,433.9899279395051,High
21,0.18,1,13556,1,0,300.0,High
57,0.22,0,91836,1,1,410.564622371884,High
57,0.19,1,10498,0,0,300.0,High
85,0.78,0,81118,2,0,627.9224765448447,Medium
48,0.35,0,55098,0,2,444.22073157374575,High
51,0.06,0,69386,0,0,300.0,High
41,0.97,0,14569,2,2,528.6930045086535,Medium
69,0.88,1,61882,2,0,685.7089951793164,Low
14,0.93,0,75393,2,1,568.2072039672872,Medium
53,0.99,0,5340,2,0,469.11323329401114,Medium
59,0.17,1,48949,0,0,379.29418215060605,High
96,0.4,0,87302,0,0,458.4218614448805,Medium
7,0.76,0,67443,1,2,498.71328174926657,Medium
52,0.7,0,96668,0,1,566.9123749642615,Medium
59,0.15,1,79027,2,0,494.64551370321277,Medium
4,0.82,0,5138,1,2,397.2643894701839,High
67,0.22,1,5358,2,1,414.948155993994,High
5,0.22,0,80250,0,2,334.10117452747056,High
95,0.54,0,90376,1,2,677.5601424475446,Low
93,0.59,1,35654,2,1,644.9860156825092,Medium
46,0.58,0,30879,1,0,336.9210490911894,High
98,0.09,0,86532,1,2,501.3940483211019,Medium
54,0.88,1,60778,0,2,663.7632515712778,Low
39,0.27,1,42772,2,0,433.6556163697871,High
51,0.13,1,63478,1,0,414.10523671224894,High
15,0.89,1,69353,1,1,613.5762423363891,Medium
12,0.96,1,31762,2,1,576.4481502967183,Medium
29,0.86,0,18283,1,1,421.0873998406529,High
18,0.81,1,68922,1,0,568.7087421516443,Medium
16,0.66,0,44420,1,2,486.92867016349487,Medium
62,0.55,0,60568,2,2,558.0281415214492,Medium
18,0.09,0,90090,2,1,375.9483104131142,High
91,0.41,1,25219,2,0,515.9982583071778,Medium
57,0.37,1,62169,2,2,605.0894214017907,Medium
54,0.26,0,79965,0,1,426.0142856565985,High
89,0.72,1,51840,1,2,727.4766855851445,Low
89,0.5,1,49695,2,2,693.3172887850927,Low
61,0.08,1,89754,1,0,460.47347865822894,Medium
22,0.22,1,82988,1,0,373.46401266681096,High
8,0.68,0,63342,0,2,452.4522229743213,Medium
11,0.08,0,23951,2,1,300.0,High
0,0.85,1,6307,2,0,399.1909371970876,High
57,0.5,0,85388,1,2,554.4332583910248,Medium
0,0.48,1,95768,2,0,485.02822260726106,Medium
33,0.59,1,40428,1,0,474.4536507826066,Medium
95,0.82,0,97021,1,0,638.7662076779594,Medium
47,0.35,0,80774,0,2,444.7510512190149,High
88,0.68,0,43975,0,1,522.6577652109603,Medium
0,0.57,1,6140,0,1,306.764124572915,High
15,0.27,0,29842,1,1,300.0,High
60,0.88,1,31421,2,0,573.5524652933356,Medium
63,0.8,0,6708,0,2,497.8162292001079,Medium
62,0.66,0,8630,2,0,393.23273759119627,High
68,0.85,1,24595,0,1,589.8716430999552,Medium
21,0.87,1,81021,0,1,633.3622063958219,Medium
92,0.71,1,33308,1,2,679.1706223269223,Low
66,0.84,1,49789,0,0,577.3382598270399,Medium
75,0.7,1,60690,0,1,610.2534400138852,Medium
25,0.68,1,31086,1,2,525.0019255800838,Medium
15,0.62,1,21859,2,0,401.30634211988246,High
50,0.75,1,12684,0,0,440.5181921833267,High
85,0.16,0,96088,1,1,482.4800893165387,Medium
56,0.88,1,6207,0,1,544.1866430179675,Medium
28,0.87,1,51099,1,0,531.373661039162,Medium
77,0.03,0,72496,2,0,374.38465351834947,High
91,0.83,1,71093,2,1,792.8860258304646,Low
68,0.13,0,34689,1,0,300.0,High
46,0.34,0,53651,1,1,365.2075085516324,High
93,0.74,1,18893,1,0,577.4875806395999,Medium
61,0.16,0,71418,2,1,418.7776507397911,High
68,0.82,1,65011,0,2,716.4290365854708,Low
75,0.83,0,43635,2,1,627.6673287251994,Medium
15,0.51,0,61115,1,1,386.6027409685543,High
89,0.01,0,83405,1,2,465.02538877439736,Medium
89,0.29,1,77702,2,0,562.5862077611588,Medium
47,0.62,1,83518,1,2,659.9919673735684,Low
84,0.98,0,77805,2,1,698.3546738577776,Low
38,0.63,0,63954,1,0,441.5628721669116,High
99,0.26,1,33064,0,2,497.46242361288466,Medium
32,0.63,1,84063,0,0,530.8880963543861,Medium
93,0.54,0,7454,1,0,375.54672186649543,High
22,0.78,0,25878,2,2,479.5078957075176,Medium
9,0.11,1,56098,0,0,300.0,High
68,0.76,1,67154,2,2,787.2252931928406,Low
99,0.54,1,17991,1,1,576.3083120337155,Medium
33,0.96,1,73344,2,0,676.4955705008571,Low
51,0.34,1,41593,0,1,463.19653717192017,Medium
94,0.63,0,41304,2,1,572.876109480448,Medium
9,0.93,1,35386,2,0,503.8595245828957,Medium
18,0.1,0,60220,1,2,312.02714499768456,High
57,0.94,1,74338,1,0,659.8310397286759,Low
95,0.69,0,99289,1,1,665.507916762254,Low
0,0.07,1,26083,0,1,300.0,High
68,0.3,1,23354,0,2,470.0248871581547,Medium
3,0.71,0,27190,1,0,311.6221832204057,High
15,0.07,0,11142,1,1,300.0,High
23,0.58,1,33398,0,1,434.11309647467084,High
